Andrew Wallace,Representative,Current,Fisher,1198,Queensland,Liberal Party of Australia,"","",207100,23/4/1968,M,,Andrew_Wallace,265967
Andrew Wilkie,Representative,Current,Denison,289,Tasmania,Independent,"","",207100,8/11/1961,M,,Andrew_Wilkie,C2T
Angus Taylor,Representative,Current,Hume,17240,New South Wales,Liberal Party of Australia,"Minister for Energy","Other Ministers in Cabinet ($150,148.00)",357248,30/9/1966,M,,Angus_Taylor_(politician),231027
Ann Sudmalis,Representative,Current,Gilmore,6342,New South Wales,Liberal Party of Australia,"Chair of Standing Committee on Indigenous Affairs","Chair of a House of Representatives General Purpose Standing Committee ($22,781.00)",229881,16/9/1955,F,,Ann_Sudmalis,241586
Anna Burke,Representative,,Chisholm,65,Victoria,Australian Labor Party,"","",0,1/1/1966,F,Post Retirement Traveller,Anna_Burke,83S
Anne Aly,Representative,Current,Cowan,180,Western Australia,Australian Labor Party,"","",207100,29/3/1967,F,,Anne_Aly,13050
Anne McEwen,Senator,,,0,South Australia,Australian Labor Party,"","",0,3/8/1954,F,Post Retirement Traveller,Anne_McEwen_(politician),e5e
Anne Ruston,Senator,Current,,0,South Australia,Liberal Party of Australia,"Assistant Minister for International Development and the Pacific","Parliamentary Secretaries ($51,775.00)",258875,10/6/1963,F,,Anne_Ruston,243273
Anne Stanley,Representative,Current,Werriwa,172,New South Wales,Australian Labor Party,"","",207100,6/10/1961,F,,Anne_Stanley_(politician),265990
Anne Urquhart,Senator,Current,,0,Tasmania,Australian Labor Party,"Opposition Whip in the Senate","Chief Opposition Whip in the Senate ($37,278.00)",244378,18/10/1957,F,,Anne_Urquhart,231199
Annette Ellis,Representative,,Canberra,1921,Australian Capital Territory,Australian Labor Party,"","",0,13/10/1946,F,Severance and Post Retirement Traveller,Annette_Ellis,5K6
Annette Hurley,Senator,,,0,South Australia,Australian Labor Party,"","",0,1955,F,Severance and Post-Retirement Traveller,Annette_Hurley,e4u
Anthony Albanese,Representative,Current,Grayndler,32,New South Wales,Australian Labor Party,"Shadow Minister for Infrastructure, Transport, Cities and Regional Development|Shadow Minister for Tourism","Shadow Cabinet Ministers ($51,775.00)",258875,2/3/1963,M,,Anthony_Albanese,R36
Anthony Byrne,Representative,Current,Holt,266,Victoria,Australian Labor Party,"Deputy Chair of Parliamentary Joint Committee on Intelligence and Security","Deputy Chair of a Joint Statutory Committee or Joint Standing Committee, Not Otherwise Specified ($11,390.00)",218490,1/12/1962,M,,Anthony_Byrne,008K0
Anthony Chisholm,Senator,Current,,0,Queensland,Australian Labor Party,"","",207100,24/2/1978,M,,Anthony_Chisholm,39801
Anthony Street,Representative,,Corangamite,0,Victoria,Liberal Party of Australia,"","",0,,,Life Gold Pass Holder,Tony_Street,
Arch Bevis,Representative,,Brisbane,76,Queensland,Australian Labor Party,"","",0,10/4/1955,M,Life Gold Pass Holder,Arch_Bevis,ET4
Arthur Gietzelt,Senator,,,0,New South Wales,Australian Labor Party,"","",0,,,Life Gold Pass Holder,Arthur_Gietzelt,
Arthur Sinodinos,Senator,Current,,0,New South Wales,Liberal Party of Australia,"","",207100,25/2/1957,M,,Arthur_Sinodinos,bv7
Baden Teague,Senator,,,0,South Australia,Liberal Party of Australia,"","",0,,,Life Gold Pass Holder,Baden_Teague,
Barnaby Joyce,Representative,Current,New England,68394,New South Wales,The Nationals,"","",207100,17/4/1967,M,Severance and Post-Retirement Traveller,Barnaby_Joyce,E5D
Barry Cohen,Representative,,Robertson,0,New South Wales,Australian Labor Party,"","",0,,,Life Gold Pass Holder,Barry_Cohen,
Barry Haase,Representative,,Durack,1587758,Western Australia,Liberal Party of Australia,"","",0,19/11/1945,M,Severance and Post Retirement Traveller,Barry_Haase,84T
Barry Jones,Representative,,Lalor,0,Victoria,Australian Labor Party,"","",0,,,Life Gold Pass Holder,Barry_Jones_(Australian_politician),
Barry O'Sullivan,Senator,Current,,0,Queensland,The Nationals,"Chair of Rural and Regional Affairs and Transport Legislation Committee|Deputy Chair of Rural and Regional Affairs and Transport References Committee","Chair of a Senate Legislative and General Purpose Standing Committee ($22,781.00)",229881,24/3/1957,M,,Barry_O'Sullivan_(politician),247871
Barry Wakelin,Representative,,Grey,904881,South Australia,Liberal Party of Australia,"","",0,7/5/1946,M,Severance Traveller,Barry_Wakelin,HV5
Belinda Neal,Representative,,Robertson,721,New South Wales,Australian Labor Party,"","",0,10/1/1963,F,Severance Traveller,Belinda_Neal,B36
Ben Humphreys,Representative,,Griffith,0,Queensland,Australian Labor Party,"","",0,,,Life Gold Pass Holder,Ben_Humphreys,
Ben Morton,Representative,Current,Tangney,83,Western Australia,Liberal Party of Australia,"Chair of Joint Standing Committee on the National Capital and External Territories","Chair of a Joint Statutory Committee or Joint Standing Committee, Not Otherwise Specified ($22,781.00)",229881,29/6/1981,M,,Ben_Morton,265931
Bernie Ripoll,Representative,,Oxley,155,Queensland,Australian Labor Party,"","",0,6/1/1966,M,Post Retirement Traveller,Bernie_Ripoll,83E
Bert van Manen,Representative,Current,Forde,418,Queensland,Liberal Party of Australia,"Government Whip","Whip in the House of Representatives of a Government Party With More Than 10 Members in the House ($26,923.00)",234023,24/3/1965,M,,Bert_van_Manen,188315
Bill Hayden,Representative,,Oxley,0,Queensland,Australian Labor Party,"","",0,,,Life Gold Pass Holder,Bill_Hayden,
Bill Heffernan,Senator,,,0,New South Wales,Liberal Party of Australia,"","",0,3/3/1943,M,Post Retirement Traveller,Bill_Heffernan,C16
Bill Shorten,Representative,Current,Maribyrnong,64,Victoria,Australian Labor Party,"Leader of the Opposition|Shadow Minister for Indigenous Affairs and Aboriginal and Torres Strait Islanders","Leader of the Opposition ($176,035.00)",383135,12/5/1967,M,,Bill_Shorten,00ATG
Bob Baldwin,Representative,,Paterson,6652,New South Wales,Liberal Party of Australia,"","",0,9/3/1955,M,Post Retirement Traveller,Bob_Baldwin,LL6
Bob Brown,Senator,,,0,Tasmania,Australian Greens,"","",0,27/12/1944,M,Life Gold Pass Holder,Bob_Brown,QD4
Bob Carr,Senator,,,0,New South Wales,Australian Labor Party,"","",0,28/9/1947,M,Severance and Post Retirement Traveller,Bob_Carr,wx4
Bob Day,Senator,,,0,South Australia,Family First Party,"","",0,5/7/1952,M,Post Retirement Traveller,Bob_Day,HYG
Bob Debus,Representative,,Macquarie,12084,New South Wales,Australian Labor Party,"","",0,16/9/1943,M,Severance Traveller,Bob_Debus,8IS
Bob Katter,Representative,Current,Kennedy,567377,Queensland,Katter's Australian Party,"","",207100,22/5/1945,M,,Bob_Katter,HX4
Bob McMullan,Representative,,Fraser,535,Australian Capital Territory,Australian Labor Party,"Parliamentary Secretary for International Development Assistance","",0,10/12/1947,M,Life Gold Pass Holder,Bob_McMullan,5I4
Bob Sercombe,Representative,,Maribyrnong,71,Victoria,Australian Labor Party,"","",0,3/4/1949,M,Severance Traveller,Bob_Sercombe,QK6
Brendan Nelson,Representative,,Bradfield,93,New South Wales,Liberal Party of Australia,"","",0,19/8/1958,M,Life Gold Pass Holder,Brendan_Nelson,RW5
Brendan O'Connor,Representative,Current,Gorton,540,Victoria,Australian Labor Party,"Shadow Minister for Employment and Workplace Relations","Shadow Cabinet Ministers ($51,775.00)",258875,2/3/1962,M,,Brendan_O'Connor_(politician),00AN3
Brett Mason,Senator,,,0,Queensland,Liberal Party of Australia,"","",0,5/3/1962,M,Severance and Post Retirement Traveller,Brett_Mason,84M
Brett Raguse,Representative,,Forde,3167,Queensland,Australian Labor Party,"","",0,24/3/1960,M,Severance Traveller,Brett_Raguse,HVQ
Brett Whiteley,Representative,,Braddon,20826,Tasmania,Liberal Party of Australia,"","",0,1/7/1960,M,Post Retirement Traveller,Brett_Whiteley,207800
Brian Archer,Senator,,,0,Tasmania,Liberal Party of Australia,"","",0,,,Life Gold Pass Holder,Brian_Archer,
Brian Burston,Senator,Current,,0,New South Wales,United Australia Party,"","",207100,25/2/1948,M,,Brian_Burston,207807
Brian Harradine,Senator,,,0,Tasmania,Independent,"","",0,,,Life Gold Pass Holder,Brian_Harradine,
Brian Howe,Representative,,Batman,0,Victoria,Australian Labor Party,"","",0,,,Life Gold Pass Holder,Brian_Howe_(politician),
Brian Mitchell,Representative,Current,Lyons,35721,Tasmania,Australian Labor Party,"","",207100,16/7/1967,M,,Brian_Mitchell_(politician),129164
Bridget McKenzie,Senator,Current,,0,Victoria,The Nationals,"Deputy Leader of The Nationals|Minister for Regional Services, Sport, Local Government and Decentralisation","Other Ministers in Cabinet ($150,148.00)",357248,27/12/1969,F,,Bridget_McKenzie,207825
Bronwyn Bishop,Representative,,Mackellar,233,New South Wales,Liberal Party of Australia,"","",0,19/10/1942,F,Life Gold Pass Holder,Bronwyn_Bishop,SE4
Bruce Billson,Representative,,Dunkley,140,Victoria,Liberal Party of Australia,"","",0,26/1/1966,M,Life Gold Pass Holder,Bruce_Billson,1K6
Bruce Goodluck,Representative,,Franklin,0,Tasmania,Liberal Party of Australia,"","",0,,,Life Gold Pass Holder,Bruce_Goodluck,
Bruce Lloyd,Representative,,Murray,0,Victoria,The Nationals,"","",0,,,Life Gold Pass Holder,Bruce_Lloyd,
Bruce Scott,Representative,,Maranoa,731297,Queensland,The Nationals,"Deputy Speaker","",0,20/10/1943,M,Life Gold Pass Holder,Bruce_Scott_(Australian_politician),YT4
Carmen Lawrence,Representative,,Fremantle,200,Western Australia,Australian Labor Party,"","",0,2/3/1948,F,Severance Traveller,Carmen_Lawrence,XS4
Carol Brown,Senator,Current,,0,Tasmania,Australian Labor Party,"Shadow Ministerfor Disability and Carers","Other Shadow Ministers ($41,420.00)",248520,19/7/1963,F,,Carol_Brown_(politician),F49
Catherine King,Representative,Current,Ballarat,4322,Victoria,Australian Labor Party,"Shadow Minister for Health and Medicare","Shadow Cabinet Ministers ($51,775.00)",258875,2/6/1966,F,,Catherine_King_(politician),00AMR
Cathy McGowan,Representative,Current,Indi,29187,Victoria,Independent,"","",207100,29/11/1953,F,,Cathy_McGowan_(politician),123674
Cathy O'Toole,Representative,Current,Herbert,941,Queensland,Australian Labor Party,"","",207100,30/8/1956,F,,Cathy_O'Toole,249908
Catryna Bilyk,Senator,Current,,0,Tasmania,Australian Labor Party,"Chair of Select Committee on Charity Fundraising in the 21st Century|Chair of Standing Committee of Senators' Interests|Deputy Chair of Parliamentary Joint Committee on the Australian Commission for Law Enforcement Integrity","Chair of a Joint Select Committee or Select Committee in the Senate or the House of Representatives ($22,781.00)",229881,7/2/1959,F,,Catryna_Bilyk,HZB
Chris Back,Senator,,,0,Western Australia,Liberal Party of Australia,"","",0,11/2/1950,M,,Chris_Back,J7Q
Chris Bowen,Representative,Current,McMahon,168,New South Wales,Australian Labor Party,"Shadow Treasurer|Shadow Minister for Small Business","Shadow Cabinet Ministers ($51,775.00)",258875,17/1/1973,M,,Chris_Bowen,DZS
Chris Crewther,Representative,Current,Dunkley,152,Victoria,Liberal Party of Australia,"","",207100,6/8/1983,M,,Chris_Crewther,248969
Chris Evans,Senator,,,0,Western Australia,Australian Labor Party,"","",0,14/5/1958,M,Life Gold Pass Holder,Chris_Evans_(Australian_politician),AX5
Chris Hayes,Representative,Current,Fowler,69,New South Wales,Australian Labor Party,"Chief Opposition Whip","Chief Opposition Whip in the House of Representatives ($47,633.00)",254733,17/7/1955,M,,Chris_Hayes_(politician),ECV
Chris Ketter,Senator,Current,,0,Queensland,Australian Labor Party,"Deputy Opposition Whip in the Senate|Chair of Economics References Committee|Deputy Chair of Economics Legislation Committee","Chair of a Senate Legislative and General Purpose Standing Committee ($22,781.00)",229881,12/2/1961,M,,Chris_Ketter,244247
Chris Pearce,Representative,,Aston,96,Victoria,Liberal Party of Australia,"","",0,1/3/1963,M,Severance and Post-Retirement Traveller,Chris_Pearce_(politician),A8W
Chris Schacht,Senator,,,0,South Australia,Australian Labor Party,"","",0,6/12/1946,M,Life Gold Pass Holder,Chris_Schacht,4J4
Chris Trevor,Representative,,Flynn,314305,Queensland,Australian Labor Party,"","",0,23/6/1961,M,Severance Traveller,Chris_Trevor,HVU
Christian Porter,Representative,Current,Pearce,13250,Western Australia,Liberal Party of Australia,"Attorney-General","Other Ministers in Cabinet ($150,148.00)",357248,11/7/1970,M,,Christian_Porter,208884
Christine Milne,Senator,,,0,Tasmania,Australian Greens,"","",0,14/5/1953,F,Severance and Post Retirement Traveller,Christine_Milne,ka5
Christopher Ellison,Senator,,,0,Western Australia,Liberal Party of Australia,"","",0,15/6/1954,M,Life Gold Pass Holder,Chris_Ellison,9X5
Christopher Hurford,Representative,,Adelaide,0,South Australia,Australian Labor Party,"","",0,,,Life Gold Pass Holder,Chris_Hurford,
Christopher Pyne,Representative,Current,Sturt,97,South Australia,Liberal Party of Australia,"Leader of the House|Minister for Defence","Leader of the House ($155,325.00)",362425,13/8/1967,M,,Christopher_Pyne,9V5
Claire Bowen,,,,0,,,"","",0,,,Surviving Spouse or De Facto Partner of Life Gold Pass Holder,,
Claire Moore,Senator,Current,,0,Queensland,Australian Labor Party,"Shadow Minister for International Development and the Pacific","Other Shadow Ministers ($41,420.00)",248520,19/2/1956,F,,Claire_Moore,00AOQ
Clare O'Neil,Representative,Current,Hotham,83,Victoria,Australian Labor Party,"Shadow Minister for Justice|Shadow Minister for Financial Services","Other Shadow Ministers ($41,420.00)",248520,12/9/1980,F,,Clare_O'Neil,140590
Clive Palmer,Representative,,Fairfax,1036,Queensland,Palmer United Party,"","",0,26/3/1954,M,Post Retirement Traveller,Clive_Palmer,LQR
Clyde Holding,Representative,,Melbourne Ports,0,Victoria,Australian Labor Party,"","",0,,,Life Gold Pass Holder,Clyde_Holding,
Colin Hollis,Representative,,Throsby,392,New South Wales,Australian Labor Party,"","",0,30/5/1938,M,Life Gold Pass Holder,Colin_Hollis,DH4
Concetta Fierravanti-Wells,Senator,Current,,0,New South Wales,Liberal Party of Australia,"","",207100,20/5/1960,F,,Concetta_Fierravanti-Wells,e4t
Cory Bernardi,Senator,Current,,0,South Australia,Australian Conservatives,"","",207100,6/11/1969,M,,Cory_Bernardi,G0D
Craig Emerson,Representative,,Rankin,131,Queensland,Australian Labor Party,"","",0,15/11/1954,M,Life Gold Pass Holder,Craig_Emerson,83V
Craig Kelly,Representative,Current,Hughes,369,New South Wales,Liberal Party of Australia,"Chair of Parliamentary Joint Committee on Law Enforcement","Chair of a Joint Statutory Committee or Joint Standing Committee, Not Otherwise Specified ($22,781.00)",229881,29/9/1963,M,,Craig_Kelly_(politician),99931
Craig Laundy,Representative,Current,Reid,55,New South Wales,Liberal Party of Australia,"","",207100,16/2/1971,M,,Craig_Laundy,247130
Craig Thomson,Representative,,Dobell,775,New South Wales,Independent,"","",0,31/7/1964,M,Severance and Post Retirement Traveller,Craig_Thomson_(politician),HVZ
Damian Drum,Representative,Current,Murray,19500,Victoria,The Nationals,"Nationals Whip","Whip in the House of Representatives of a Government Party With More Than 10 Members in the House ($26,923.00)",234023,28/7/1960,M,,Damian_Drum,56430
Damian Hale,Representative,,Solomon,326,Northern Territory,Australian Labor Party,"","",0,28/12/1969,M,Severance Traveller,Damian_Hale,HWD
Dan Tehan,Representative,Current,Wannon,33419,Victoria,Liberal Party of Australia,"Minister for Education","Other Ministers in Cabinet ($150,148.00)",357248,27/1/1968,M,,Dan_Tehan,210911
Dana Wortley,Senator,,,0,South Australia,Australian Labor Party,"","",0,1959,F,Severance and Post-Retirement Traveller,Dana_Wortley,e6c
Danna Vale,Representative,,Hughes,265,New South Wales,Liberal Party of Australia,"","",0,14/11/1944,F,Life Gold Pass Holder,Danna_Vale,VK6
Darren Cheeseman,Representative,,Corangamite,7724,Victoria,Australian Labor Party,"","",0,8/6/1976,M,Severance and Post Retirement Traveller,Darren_Cheeseman,HW7
Darren Chester,Representative,Current,Gippsland,33182,Victoria,The Nationals,"Deputy Leader of the House|Minister for Veterans' Affairs|Minister Assisting the Prime Minister for the Centenary of ANZAC|Minister for Defence Personnel","Ministers Not in Cabinet ($119,082.00)",326182,13/9/1967,M,,Darren_Chester,IPZ
Daryl Melham,Representative,,Banks,49,New South Wales,Australian Labor Party,"","",0,26/11/1954,M,Life Gold Pass Holder,Daryl_Melham,4T4
Daryl Williams,Representative,,Tangney,70,Western Australia,Liberal Party of Australia,"","",0,21/8/1942,M,Life Gold Pass Holder,Daryl_Williams,7V5
David Beddall,Representative,,Rankin,0,Queensland,Australian Labor Party,"","",0,,,Life Gold Pass Holder,David_Beddall,
David Bradbury,Representative,,Lindsay,339,New South Wales,Australian Labor Party,"","",0,28/2/1976,M,Severance and Post Retirement Traveller,David_Bradbury_(politician),HVW
David Bushby,Senator,Current,,0,Tasmania,Liberal Party of Australia,"Chief Government Whip in the Senate|Chair of Parliamentary Joint Committee on the Australian Commission for Law Enforcement Integrity","Chief Government Whip in the Senate ($41,420.00)",248520,17/7/1965,M,,David_Bushby,HLL
David Coleman,Representative,Current,Banks,53,New South Wales,Liberal Party of Australia,"Minister for Immigration, Citizenship and Multicultural Affairs","Ministers Not in Cabinet ($119,082.00)",326182,5/3/1974,M,,David_Coleman,241067
David Connolly,Representative,,Bradfield,0,New South Wales,Liberal Party of Australia,"","",0,,,Life Gold Pass Holder,David_Connolly_(politician),
David Fawcett,Senator,Current,,0,South Australia,Liberal Party of Australia,"Assistant Minister for Defence","Parliamentary Secretaries ($51,775.00)",258875,23/10/1963,M,,David_Fawcett,DYU
David Feeney,Senator,,Batman,0,Victoria,Australian Labor Party,"Parliamentary Secretary for Defence","",0,5/3/1970,M,,David_Feeney,I0O
David Gillespie,Representative,Current,Lyne,16099,New South Wales,The Nationals,"","",207100,20/12/1957,M,,David_Gillespie,72184
David Hawker,Representative,,Wannon,33854,Victoria,Liberal Party of Australia,"","",0,1/5/1949,M,Life Gold Pass Holder,David_Hawker,8H4
David Johnston,Senator,,,0,Western Australia,Liberal Party of Australia,"","",0,14/2/1956,M,Post Retirement Traveller,David_Johnston,00AON
David Jull,Representative,,Fadden,524,Queensland,Liberal Party of Australia,"","",0,4/10/1944,M,Life Gold Pass Holder,David_Jull,MH4
David Kemp,Representative,,Goldstein,48,Victoria,Liberal Party of Australia,"","",0,14/10/1941,M,Life Gold Pass Holder,David_Kemp_(politician),BT4
David Leyonhjelm,Senator,Current,,0,New South Wales,Liberal Democratic Party,"Chair of Red Tape Committee","Chair of a Joint Select Committee or Select Committee in the Senate or the House of Representatives ($22,781.00)",229881,1/4/1952,M,,David_Leyonhjelm,111206
David Littleproud,Representative,Current,Maranoa,729897,Queensland,The Nationals,"Minister for Agriculture and Water Resources","Other Ministers in Cabinet ($150,148.00)",357248,4/9/1976,M,,David_Littleproud,265585
David MacGibbon,Senator,,,0,Queensland,Liberal Party of Australia,"","",0,13/5/1934,M,Life Gold Pass Holder,David_MacGibbon_(politician),YH4
David Simmons,Representative,,Calare,0,New South Wales,Australian Labor Party,"","",0,,,Life Gold Pass Holder,David_Simmons_(Australian_politician),
David Smith,Senator,,,0,Australian Capital Territory,Australian Labor Party,"","",0,,,,David_Smith_(Australian_Capital_Territory_politician),276714
Dawn Gietzelt,,,,0,,,"","",0,,,Surviving Spouse or De Facto Partner of Life Gold Pass Holder,,
Dean Smith,Senator,Current,,0,Western Australia,Liberal Party of Australia,"Deputy Government Whip in the Senate|Chair of Joint Committee of Public Accounts and Audit","Chair of the Joint Statutory Committee on Public Accounts and Audit ($33,136.00)",240236,15/5/1969,M,,Dean_Smith,241710
De-Anne Kelly,Representative,,Dawson,22515,Queensland,The Nationals,"","",0,21/3/1954,F,Severance Traveller,De-Anne_Kelly,FK6
Deborah O'Neill,Senator,Current,,0,New South Wales,Australian Labor Party,"Deputy Chair of Parliamentary Joint Committee on Corporations and Financial Services|Shadow Assistant Minister for Innovation|Shadow Assistant Minister for Mental Health","Deputy Chair of a Joint Statutory Committee or Joint Standing Committee, Not Otherwise Specified ($11,390.00)",218490,4/6/1961,F,Severance and Post-Retirement Traveller,Deborah_O'Neill,140651
Dennis Jensen,Representative,,Tangney,96,Western Australia,Liberal Party of Australia,"","",0,28/2/1962,M,Post Retirement Traveller,Dennis_Jensen,DYN
Derryn Hinch,Senator,Current,,0,Victoria,Derryn Hinch's Justice Party,"Chair of Joint Select Committee on oversight of the implementation of redress related recommendations of the Royal Commission into Institutional Responses to Child Sexual Abuse","Chair of a Joint Select Committee or Select Committee in the Senate or the House of Representatives ($22,781.00)",229881,9/2/1944,M,,Derryn_Hinch,2O4
Dick Adams,Representative,,Lyons,32910,Tasmania,Australian Labor Party,"","",0,29/4/1951,M,Life Gold Pass Holder,Dick_Adams_(politician),BV5
Don Farrell,Senator,Current,,0,South Australia,Australian Labor Party,"Deputy Leader of the Opposition in the Senate|Shadow Special Minister of State|Shadow Minister for Sport","Shadow Cabinet Ministers ($51,775.00)",258875,6/6/1954,M,Severance and Post Retirement Traveller,Don_Farrell,I0N
Don Randall,Representative,,Canning,6178,Western Australia,Liberal Party of Australia,"","",0,2/5/1953,M,,Don_Randall,PK6
Donald Cameron,Representative,,Moreton,0,Queensland,Liberal Party of Australia,"","",0,,,Life Gold Pass Holder,Don_Cameron_(Queensland_Liberal_politician),
Donald Grimes,Senator,,,0,Tasmania,Australian Labor Party,"","",0,,,Life Gold Pass Holder,Don_Grimes,
Donald Jessop,Senator,,,0,South Australia,Independent,"","",0,,,Life Gold Pass Holder,Don_Jessop,
Dorothy Archer,,,,0,,,"","",0,,,Surviving Spouse or De Facto Partner of Life Gold Pass Holder,,
Doug Anthony,Representative,,Richmond,0,New South Wales,The Nationals,"","",0,,,Life Gold Pass Holder,Doug_Anthony,
Doug Cameron,Senator,Current,,0,New South Wales,Australian Labor Party,"Shadow Minister for Skills, TAFE and Apprenticeships|Shadow Minister for Housing and Homelessness","Other Shadow Ministers ($41,420.00)",248520,27/1/1951,M,,Doug_Cameron_(politician),AI6
Douglas Everingham,Representative,,Capricornia,0,Queensland,Australian Labor Party,"","",0,,,Life Gold Pass Holder,Doug_Everingham,
